minute_idx,BTC,DOGE,ETH,SOL,XRP
268,1356076.2740344035,33132.17395302752,2019407.138211009,541205.8265660551,98319.64114036698
269,1272966.537504312,26815.894182568805,1129607.602891376,420200.92057064216,77369.97529174312
270,1964347.2266017117,39556.94671027027,1332453.5446752254,457599.8621990991,111147.75732972973
271,1776644.2118820185,52019.021059816514,1771327.8025409174,486985.99317889905,115202.4363440367
272,2047088.982993,45893.61178809091,2582743.2768421816,651063.7244754547,102987.22217
273,2768931.619091261,24400.7687445045,2635289.1806654055,841189.0096504504,121066.2305981982
274,1965977.8102468806,50452.447806697244,1517327.8212212843,684959.292072477,103018.86645137615
275,1670981.8621383784,22728.801885135137,1731927.2507216216,413748.82170540537,111557.17128018018
276,1639720.779725,28756.676241727277,1754528.0682259998,613484.2289366972,97529.21995963303
277,1698661.2328316364,31088.269838,1524561.288363818,687671.3683585585,104090.28051261262
278,1547215.9916607274,30494.769783727275,2179695.3125363635,458544.5527072727,96871.31874181818
279,1740705.9310083636,42321.76432190909,1467084.7587494547,788077.379509091,105630.62166727273
280,1752289.8288708334,36710.673680370375,1497039.631114815,593180.9905425926,108485.28784444444
281,2176584.891926182,20984.67859327273,2899400.8363851816,525889.1057354546,99424.41154636363
282,2084806.2337877778,29814.19948990741,1379267.6758344444,547529.9395601852,110910.96973796295
283,1449997.4153763636,34047.175732181815,1924762.997880091,678340.7632745454,105962.99110545455
284,1484263.6125433336,50099.84344953704,1873161.738971389,514261.9388333333,111097.93165740742
285,1869315.260325321,32899.17677100917,1586759.9049004586,419828.77887155965,119033.38196513761
286,1575402.031181,33298.50046118182,2608223.816065273,650019.7561809091,118021.40722
287,1110580.371522883,30427.788101531532,1319762.0440331532,592245.1243810811,100415.28541801801
288,2075620.2417085322,37616.763978440365,2137948.417722569,520907.5249798165,110390.62105779817
289,1293339.7745712611,45138.8955736036,1030656.7776181982,640150.429991892,122043.368490991
290,1554548.5315575227,33652.30061761468,2035218.5238463304,517558.2354724771,96856.30576697248
291,2813664.0151586365,31032.477417181817,1573056.875699,589164.6076318182,114085.89366090909
292,1221509.9828232408,32067.506798425926,1677150.2570175927,569859.6754694445,98730.39128055556
293,1960418.8447140367,40244.99103752294,1505018.0650509174,663754.9829807339,95781.70689357798
294,1573017.0969373395,16064.045008623852,1671475.805527156,428125.65681192663,110638.45619266055
295,2265726.2083023638,24665.679438454543,1851880.3344375456,579040.7760809091,125208.36383454545
296,2051251.345201982,25300.477981711712,1701591.6140001803,500780.84068108106,78648.48892342341
297,1519127.2525954545,46916.39087318182,850188.3686137273,799215.9237990909,106205.20852090909
298,1857122.4069363303,19320.565642568807,2044779.6667677066,541900.9363165138,122382.83276238531
299,1593898.9270681818,22271.094036454546,832747.3068929091,375224.2686681818,82969.96241545456
300,1678950.202770734,24530.708386330276,1307736.508095688,624305.5858706422,111183.39882844037
301,1796407.3841973396,29677.31384238532,2053083.2102989906,488228.63343486236,106233.8831972477
302,1864497.5155295497,29419.959763603605,2083193.0507227925,554608.1175261261,114128.95605765765
303,1834958.0650818518,26197.528679166666,3391099.6567294444,328845.029062963,127843.80304166666
304,2000498.3979516514,43395.88246366973,1856298.0630385322,421628.78931100917,149096.2689
305,1321119.2658340542,37784.60063054054,1248639.5802014414,502597.61598909093,100275.26163545455
306,2012499.8874558716,42321.18781440367,1625719.4042158714,457317.1947654545,115038.88417272727
307,1597615.0295874546,47172.04892090909,1264353.0058747272,809874.3829427273,122103.91731727272
308,2769409.724467037,47486.69064157407,1807576.3370566666,548914.280299074,79262.57603703703
309,2309277.7949629356,37565.50076266055,2081234.5420491742,539809.3933458716,100676.98934954128
310,1804946.2212263963,36065.81518936937,1858569.8997615315,540770.0226153154,101903.31996396395
311,1682298.5919072072,36245.523356666665,1682701.2179413512,517372.55810900906,92355.09408828829
312,1211190.0358066666,30813.889987837836,1285575.9758895496,518124.35232909094,96296.92788272726
313,1267563.1942630275,35798.633042935784,1127883.1222680735,650834.4557809092,106703.32230181817
314,1897216.5883372072,27066.346022454545,1818299.274218,449165.38256,140491.51621818182
315,1545738.6316964815,34137.64139100917,1996469.1434784406,663898.7632348624,117812.7752761468
316,1391999.1171238532,27295.965494036696,2103959.700156789,478459.5311091743,71832.67778990825
317,1442608.8181756756,23542.838093963965,1199357.548072883,615579.4445360361,91782.14755315315
